Date,Fecal Streptococci (MPN/100 mL)
2020-01-01,2.1007838359479876
2020-01-02,2.0830560917723426
2020-01-03,2.10085858972715
2020-01-04,2.120903306557298
2020-01-05,2.075142961431836
2020-01-06,2.0733212018043568
2020-01-07,2.116841910267601
2020-01-08,2.094744093725882
2020-01-09,2.062028207306928
2020-01-10,2.0855466466958683
2020-01-11,2.058626047299414
2020-01-12,2.0568088799883073
2020-01-13,2.0727541263569393
2020-01-14,2.0171388384138367
2020-01-15,2.020127016790523
2020-01-16,2.0474857454904214
2020-01-17,2.034529485705709
2020-01-18,2.066028637470757
2020-01-19,2.033809400330014
2020-01-20,2.019555807987582
2020-01-21,2.089874356211295
2020-01-22,2.045975287190024
2020-01-23,2.0517117568777263
2020-01-24,2.0128264764795443
2020-01-25,2.0332754824173946
2020-01-26,2.0481166869905745
2020-01-27,2.0150465136097013
2020-01-28,2.051711144462676
2020-01-29,2.025820123146488
2020-01-30,2.032081637799146
2020-01-31,2.022890135401266
2020-02-01,2.0828199295492347
2020-02-02,2.03477749433908
2020-02-03,2.007296291818535
2020-02-04,2.05294942569079
2020-02-05,2.0005344482463685
2020-02-06,2.034970258925605
2020-02-07,1.97947382570966
2020-02-08,1.994001997749018
2020-02-09,2.030893783489768
2020-02-10,2.0432244199495107
2020-02-11,2.0278627229710904
2020-02-12,2.0195286779242063
2020-02-13,2.0137596135149636
2020-02-14,1.9832177645817635
2020-02-15,2.0011049329305024
2020-02-16,2.0065322279899553
2020-02-17,2.043450659346636
2020-02-18,2.0246150185667307
2020-02-19,1.9709783620304415
2020-02-20,2.0222144041768444
2020-02-21,2.0035716005525033
2020-02-22,1.9953906445031069
2020-02-23,2.026749585240182
2020-02-24,2.0364058498066835
2020-02-25,2.033115493667541
2020-02-26,1.9880853630529007
2020-02-27,2.0005977111624795
2020-02-28,2.0159019533709115
2020-02-29,2.0313316800855614
2020-03-01,1.9943169182809215
2020-03-02,2.001038751782066
2020-03-03,1.9774367160205002
2020-03-04,1.9746358745293806
2020-03-05,2.0243313852177987
2020-03-06,2.037432844581623
2020-03-07,2.001266745331295
2020-03-08,2.02772716187774
2020-03-09,2.011283394545187
2020-03-10,1.9857500854170735
2020-03-11,2.010580593641689
2020-03-12,2.0396963792360916
2020-03-13,2.000081801982971
2020-03-14,2.039857837975935
2020-03-15,1.93504478817668
2020-03-16,2.020915083416422
2020-03-17,2.002405289010761
2020-03-18,1.9926480475239998
2020-03-19,2.002343928537778
2020-03-20,1.9503199446829567
2020-03-21,1.994509221433081
2020-03-22,2.0089532790700058
2020-03-23,2.0370298498821726
2020-03-24,1.9872153482160468
2020-03-25,1.980081912885773
2020-03-26,1.9879049843341967
2020-03-27,2.023521083184217
2020-03-28,2.0090743347055193
2020-03-29,1.9878634204462151
2020-03-30,2.0142232471644954
2020-03-31,2.0041348188909707
2020-04-01,2.0262724130334453
2020-04-02,1.984885355087444
2020-04-03,1.9946573962660894
2020-04-04,1.9934902647680304
2020-04-05,1.9671807331546631
2020-04-06,2.011678730700661
2020-04-07,2.0113405508793876
2020-04-08,2.005511619623595
2020-04-09,2.0001197190486355
2020-04-10,1.971231565075131
2020-04-11,1.9967617717603443
2020-04-12,1.999402551893119
2020-04-13,1.9886362266206294
2020-04-14,2.0054137785079633
2020-04-15,2.0203297520120738
2020-04-16,2.0581952518685163
2020-04-17,2.0162464972102456
2020-04-18,2.019191333674299
2020-04-19,2.0117907645399793
2020-04-20,1.9666105205972682
2020-04-21,2.014873117703431
2020-04-22,2.0180258751804976
2020-04-23,2.0791130281923396
2020-04-24,2.0137622069802332
2020-04-25,2.027176262695075
2020-04-26,2.019862909266559
2020-04-27,1.9926333293602971
2020-04-28,2.05156654811963
2020-04-29,2.042965782199384
2020-04-30,2.0451401677188428
2020-05-01,2.00385167469749
2020-05-02,2.0629029281267814
2020-05-03,1.9940578509041544
2020-05-04,2.0450705831324565
2020-05-05,2.0864791621942542
2020-05-06,2.0082961758960516
2020-05-07,2.0202667523653273
2020-05-08,2.038302486055567
2020-05-09,2.0246333006404442
2020-05-10,1.999884162509499
2020-05-11,2.041816521272231
2020-05-12,2.015017264828352
2020-05-13,2.0549073550532158
2020-05-14,2.0215944585784706
2020-05-15,2.08486033004552
2020-05-16,2.0280814744995714
2020-05-17,2.0411805776464202
2020-05-18,2.071157361565029
2020-05-19,2.0216526752789408
2020-05-20,2.059732694541372
2020-05-21,2.0883632583394633
2020-05-22,2.0171521967232326
2020-05-23,2.063625316663994
2020-05-24,2.0671918422647653
2020-05-25,2.081940256613885
2020-05-26,2.0331849359406933
2020-05-27,2.032824905860236
2020-05-28,2.0806255644536256
2020-05-29,2.0767549171128556
2020-05-30,2.077357947819246
2020-05-31,2.081533686282072
2020-06-01,2.0576597191743775
2020-06-02,2.082265007716833
2020-06-03,2.0855937442156
2020-06-04,2.062225817220589
2020-06-05,2.128555500315838
2020-06-06,2.0955918187621405
2020-06-07,2.0558060461394754
2020-06-08,2.1038523452302975
2020-06-09,2.06492802016156
2020-06-10,2.110834869233599
2020-06-11,2.1219909192021142
2020-06-12,2.074382277108748
2020-06-13,2.120861518292179
2020-06-14,2.1089783364541947
2020-06-15,2.1210953761387428
2020-06-16,2.1498515576180934
2020-06-17,2.09818713370537
2020-06-18,2.0873702186125604
2020-06-19,2.0858686700822204
2020-06-20,2.089604742875864
2020-06-21,2.1099659264417894
2020-06-22,2.122315176648918
2020-06-23,2.1225954333778083
2020-06-24,2.138247848174156
2020-06-25,2.119781175158067
2020-06-26,2.157679538648151
2020-06-27,2.11660646410798
2020-06-28,2.1931048940971998
2020-06-29,2.142615653967196
2020-06-30,2.1074133069495558
