Date,Conductivity (µmho/cm)
2020-01-01,306.5533988161734
2020-01-02,303.6765244865193
2020-01-03,306.48464074779054
2020-01-04,309.65167581601344
2020-01-05,302.29007664654654
2020-01-06,301.95883866821896
2020-01-07,308.8825948765597
2020-01-08,305.3075980978951
2020-01-09,300.03393281176955
2020-01-10,303.7579939209292
2020-01-11,299.41205461415484
2020-01-12,299.0829216816397
2020-01-13,301.5960435531348
2020-01-14,292.6597598450564
2020-01-15,293.1003218705568
2020-01-16,297.4404741960262
2020-01-17,295.3305416484931
2020-01-18,300.3337991769038
2020-01-19,295.14244955574134
2020-01-20,292.8259489257433
2020-01-21,304.04134725536915
2020-01-22,296.9822938348152
2020-01-23,297.86530404793865
2020-01-24,291.6092220069426
2020-01-25,294.84702374381277
2020-01-26,297.18798531299
2020-01-27,291.86354442581234
2020-01-28,297.6971000741161
2020-01-29,293.5221889484081
2020-01-30,294.4921307360956
2020-01-31,292.9900464069007
2020-02-01,302.54783545376506
2020-02-02,294.83054291150796
2020-02-03,290.40353174643684
2020-02-04,297.6785074462692
2020-02-05,289.2630871265967
2020-02-06,294.74430329828925
2020-02-07,285.83687928750896
2020-02-08,288.1339192537661
2020-02-09,294.0096726876656
2020-02-10,295.9561854926408
2020-02-11,293.4724760231856
2020-02-12,292.11374959479474
2020-02-13,291.16598629122393
2020-02-14,286.25515100961195
2020-02-15,289.09353919194297
2020-02-16,289.9389353277881
2020-02-17,295.8235077578144
2020-02-18,292.78802976327734
2020-02-19,284.1849968175508
2020-02-20,292.3622095033927
2020-02-21,289.35942679886404
2020-02-22,288.0311655461863
2020-02-23,293.0299193406653
2020-02-24,294.5568820434901
2020-02-25,294.0130278745805
2020-02-26,286.79145738592155
2020-02-27,288.7773360527333
2020-02-28,291.2105751048547
2020-02-29,293.6645535825808
2020-03-01,287.7280801808104
2020-03-02,288.7901324931013
2020-03-03,285.001040171367
2020-03-04,284.54081716393137
2020-03-05,292.4806923182938
2020-03-06,294.566204453802
2020-03-07,288.76959558109746
2020-03-08,292.9939205789207
2020-03-09,290.3542702672807
2020-03-10,286.26098994197986
2020-03-11,290.2266194227571
2020-03-12,294.87859446121706
2020-03-13,288.5344145636911
2020-03-14,294.89343763790777
2020-03-15,278.11891336162705
2020-03-16,291.85443198241745
2020-03-17,288.88984505564486
2020-03-18,287.32637628643585
2020-03-19,288.8761174923949
2020-03-20,280.55139116850165
2020-03-21,287.62149765392616
2020-03-22,289.93308024644915
2020-03-23,294.4265759541724
2020-03-24,286.4582107037941
2020-03-25,285.3195261262641
2020-03-26,286.5745919027183
2020-03-27,292.27725033292927
2020-03-28,289.9705602502801
2020-03-29,286.58230928318477
2020-03-30,290.8060808845737
2020-03-31,289.19883386235034
2020-04-01,292.74845055669937
2020-04-02,286.13482079437745
2020-04-03,287.70734231016047
2020-04-04,287.5302889504412
2020-04-05,283.33114145437446
2020-04-06,290.4618854308123
2020-04-07,290.4195245568814
2020-04-08,289.4993235006668
2020-04-09,288.6497237179566
2020-04-10,284.04139587296044
2020-04-11,288.14067413248006
2020-04-12,288.578308262309
2020-04-13,286.87146516878084
2020-04-14,289.5722973896293
2020-04-15,291.9759271712054
2020-04-16,298.05212621179726
2020-04-17,291.3586843221364
2020-04-18,291.8488513640238
2020-04-19,290.6843822340505
2020-04-20,283.47578804421187
2020-04-21,291.2186653326871
2020-04-22,291.74457900921357
2020-04-23,301.5406003372516
2020-04-24,291.1071436135594
2020-04-25,293.2766583032861
2020-04-26,292.1303717410318
2020-04-27,287.79806608602837
2020-04-28,297.25237812292454
2020-04-29,295.9018151093316
2020-04-30,296.27583125049347
2020-05-01,289.6963340112498
2020-05-02,299.17173548981333
2020-05-03,288.1842552895512
2020-05-04,296.37454760928284
2020-05-05,303.0286900576044
2020-05-06,290.5486881584443
2020-05-07,292.4937537371156
2020-05-08,295.40973308369166
2020-05-09,293.25340501868965
2020-05-10,289.32475505503584
2020-05-11,296.06560588142054
2020-05-12,291.8098501762782
2020-05-13,298.2248323202382
2020-05-14,292.92776932384953
2020-05-15,303.08373215099414
2020-05-16,294.03295170483267
2020-05-17,296.16304767182487
2020-05-18,300.9939654387127
2020-05-19,293.1082305869532
2020-05-20,299.2364208613744
2020-05-21,303.85306001393013
2020-05-22,292.4953902594393
2020-05-23,299.9675300160722
2020-05-24,300.5749443421855
2020-05-25,302.9717796361006
2020-05-26,295.20832510424134
2020-05-27,295.18841376354345
2020-05-28,302.8744981375955
2020-05-29,302.29344783511925
2020-05-30,302.42844895785606
2020-05-31,303.1353348461056
2020-06-01,299.35450787983876
2020-06-02,303.3305902955182
2020-06-03,303.90264123558256
2020-06-04,300.2034311772124
2020-06-05,310.8560321422553
2020-06-06,305.62187636352814
2020-06-07,299.2963557511061
2020-06-08,307.0241244371629
2020-06-09,300.8367391222258
2020-06-10,308.22247553134025
2020-06-11,310.04820590274403
2020-06-12,302.47169528432784
2020-06-13,309.94934361899027
2020-06-14,308.0890897587973
2020-06-15,310.068944665229
2020-06-16,314.7111233945694
2020-06-17,306.48605419152346
2020-06-18,304.7966231101151
