Date,pH
2020-01-01,8.085299852550754
2020-01-02,8.077265265444309
2020-01-03,8.083446318357945
2020-01-04,8.090528080515988
2020-01-05,8.071291916979966
2020-01-06,8.069635562910587
2020-01-07,8.086120846227724
2020-01-08,8.076363643197945
2020-01-09,8.062364407918198
2020-01-10,8.070864369168786
2020-01-11,8.059194449998898
2020-01-12,8.0575719059439
2020-01-13,8.063060595050013
2020-01-14,8.03993160167186
2020-01-15,8.040250787677914
2020-01-16,8.050325246272541
2020-01-17,8.04428101944581
2020-01-18,8.056026522558566
2020-01-19,8.042292488533919
2020-01-20,8.03575278164207
2020-01-21,8.063050248587631
2020-01-22,8.044669232178942
2020-01-23,8.046151238192815
2020-01-24,8.029793591896848
2020-01-25,8.037178945964316
2020-01-26,8.04233070066785
2020-01-27,8.028327657903285
2020-01-28,8.042228520187125
2020-01-29,8.031117331641228
2020-01-30,8.03287759117841
2020-01-31,8.028467298156798
2020-02-01,8.051716395423735
2020-02-02,8.03178768680492
2020-02-03,8.020094768021744
2020-02-04,8.037667088110314
2020-02-05,8.016023872132694
2020-02-06,8.029132880541399
2020-02-07,8.006281097676341
2020-02-08,8.011451456757815
2020-02-09,8.025579751079638
2020-02-10,8.02989626166325
2020-02-11,8.023148697304029
2020-02-12,8.019225230797856
2020-02-13,8.016340968412011
2020-02-14,8.003560974951734
2020-02-15,8.010166138043662
2020-02-16,8.011801064348537
2020-02-17,8.026046316526884
2020-02-18,8.018003965920702
2020-02-19,7.996055385641381
2020-02-20,8.016070207823017
2020-02-21,8.008147956798483
2020-02-22,8.00442504773399
2020-02-23,8.016532833814917
2020-02-24,8.019974414992491
2020-02-25,8.01825233818174
2020-02-26,7.999849462161834
2020-02-27,8.00447880402218
2020-02-28,8.010240241210237
2020-02-29,8.01606731664168
2020-03-01,8.000932143282505
2020-03-02,8.003307252232146
2020-03-03,7.993568550596895
2020-03-04,7.992166152060463
2020-03-05,8.011778203367527
2020-03-06,8.016768621983303
2020-03-07,8.00206807912129
2020-03-08,8.012434273915684
2020-03-09,8.005654991085926
2020-03-10,7.995256147255951
2020-03-11,8.0050191410587
