Date,Nitrate (mg/L)
2020-01-01,0.49026699408086705
2020-01-02,0.4758826224325967
2020-01-03,0.4899232037389527
2020-01-04,0.5057583790800669
2020-01-05,0.4689503832327326
2020-01-06,0.46729419334109484
2020-01-07,0.5019129743827988
2020-01-08,0.4840379904894755
2020-01-09,0.45766966405884796
2020-01-10,0.476289969604646
2020-01-11,0.454560273070774
2020-01-12,0.4529146084081984
2020-01-13,0.46548021776567405
2020-01-14,0.42079879922528196
2020-01-15,0.42300160935278397
2020-01-16,0.44470237098013105
2020-01-17,0.43415270824246566
2020-01-18,0.45916899588451915
2020-01-19,0.4332122477787068
2020-01-20,0.42162974462871666
2020-01-21,0.47770673627684584
2020-01-22,0.442411469174076
2020-01-23,0.44682652023969344
2020-01-24,0.41554611003471326
2020-01-25,0.4317351187190639
2020-01-26,0.44343992656495
2020-01-27,0.4168177221290617
2020-01-28,0.4459855003705807
2020-01-29,0.4251109447420405
2020-01-30,0.42996065368047814
2020-01-31,0.42245023203450355
2020-02-01,0.4702391772688254
2020-02-02,0.43165271455753973
2020-02-03,0.40951765873218426
2020-02-04,0.44589253723134603
2020-02-05,0.40381543563298333
2020-02-06,0.43122151649144635
2020-02-07,0.38668439643754493
2020-02-08,0.3981695962688306
2020-02-09,0.4275483634383282
2020-02-10,0.4372809274632042
2020-02-11,0.424862380115928
2020-02-12,0.41806874797397364
2020-02-13,0.4133299314561198
2020-02-14,0.3887757550480599
2020-02-15,0.4029676959597149
2020-02-16,0.40719467663894054
2020-02-17,0.436617538789072
2020-02-18,0.4214401488163866
2020-02-19,0.3784249840877542
2020-02-20,0.41931104751696374
2020-02-21,0.40429713399432016
2020-02-22,0.3976558277309315
2020-02-23,0.42264959670332647
2020-02-24,0.4302844102174506
2020-02-25,0.42756513937290236
2020-02-26,0.3914572869296079
2020-02-27,0.4013866802636664
2020-02-28,0.41355287552427333
2020-02-29,0.4258227679129041
2020-03-01,0.39614040090405217
2020-03-02,0.40145066246550654
2020-03-03,0.38250520085683487
2020-03-04,0.380204085819657
2020-03-05,0.4199034615914691
