Date,Temperature (°C)
2020-01-01,26.205863706078897
2020-01-02,25.524553181369377
2020-01-03,26.26434794496651
2020-01-04,27.093718860085453
2020-01-05,25.290766520274644
2020-01-06,25.24522868625298
2020-01-07,27.013252562505293
2020-01-08,26.156390366579387
2020-01-09,24.87465228794759
2020-01-10,25.84212618374145
2020-01-11,24.791869547680676
2020-01-12,24.74557334211884
2020-01-13,25.40958901076075
2020-01-14,23.210990868599243
2020-01-15,23.356331232570692
2020-01-16,24.476285813795165
2020-01-17,23.98342547251731
2020-01-18,25.268558686492145
2020-01-19,24.00472597992989
2020-01-20,23.459281311688827
2020-01-21,26.296477193627958
2020-01-22,24.564716067068147
2020-01-23,24.818116998701136
2020-01-24,23.28638134215856
2020-01-25,24.127743538737924
2020-01-26,24.744513145905564
2020-01-27,23.44454024870916
2020-01-28,24.933665368446523
2020-01-29,23.920263569942648
2020-01-30,24.19265578880617
2020-01-31,23.84661340544562
2020-02-01,26.26510255792172
2020-02-02,24.364375899200272
2020-02-03,23.285765697104914
2020-02-04,25.13218998430845
2020-02-05,23.055544837420083
2020-02-06,24.452580321266915
2020-02-07,22.251969346286586
2020-02-08,22.851980175388547
2020-02-09,24.346167550695128
2020-02-10,24.857535466236047
2020-02-11,24.260831179723503
2020-02-12,23.944848842209566
2020-02-13,23.731076452028113
2020-02-14,22.525998368156305
2020-02-15,23.257681745114542
2020-02-16,23.490566160638963
2020-02-17,24.98268731849799
2020-02-18,24.244232322756435
2020-02-19,22.11331899250001
2020-02-20,24.17689159294416
2020-02-21,23.44488415865646
2020-02-22,23.130920362462938
2020-02-23,24.39811823931987
2020-02-24,24.79677106610307
2020-02-25,24.677117386357104
2020-02-26,22.887427505114026
2020-02-27,23.39898813811778
2020-02-28,24.02177262104912
2020-02-29,24.649121424809923
2020-03-01,23.178232617831053
2020-03-02,23.45634667830271
2020-03-03,22.521042285260247
2020-03-04,22.417319379204265
2020-03-05,24.41298181384279
2020-03-06,24.944411125254646
2020-03-07,23.50466483768975
2020-03-08,24.569503883653013
2020-03-09,23.917698373022535
2020-03-10,22.901832227449926
2020-03-11,23.90003819310788
2020-03-12,25.069173193327032
2020-03-13,23.488610284908045
2020-03-14,25.083187320328616
2020-03-15,20.893715290383337
2020-03-16,24.331090524551257
2020-03-17,23.592774875858343
2020-03-18,23.20407343167529
2020-03-19,23.59300850464527
2020-03-20,21.51266027409858
2020-03-21,23.280353577887965
2020-03-22,23.857749191067047
2020-03-23,24.979956513832384
2020-03-24,22.986032373548554
2020-03-25,22.698862721059385
2020-03-26,23.00946571701072
2020-03-27,24.431302873743704
2020-03-28,23.850140033760372
2020-03-29,22.99792543474274
2020-03-30,24.048056466529893
2020-03-31,23.639774553279786
2020-04-01,24.520052197285963
2020-04-02,22.858863966982092
2020-04-03,23.243561601678078
2020-04-04,23.190216061776198
2020-04-05,22.13070022331703
2020-04-06,23.90301337141575
2020-04-07,23.881409499052147
2020-04-08,23.63970803683079
2020-04-09,23.415022801200212
