Date,Dissolved Oxygen (mg/L)
2020-01-01,10.75216674795594
2020-01-02,10.676032883303034
2020-01-03,10.74203960113711
2020-01-04,10.817036350280102
2020-01-05,10.628835542981662
2020-01-06,10.61641329790567
2020-01-07,10.785386667095622
2020-01-08,10.691913192213422
2020-01-09,10.555996199738107
2020-01-10,10.645046769855545
2020-01-11,10.532372932671427
2020-01-12,10.52014605074
2020-01-13,10.579003519664253
2020-01-14,10.351655006422504
2020-01-15,10.35875796177153
2020-01-16,10.463382158813031
2020-01-17,10.406786867835214
2020-01-18,10.52805510250413
2020-01-19,10.39449306211636
2020-01-20,10.332838269782139
2020-01-21,10.609518083630265
2020-01-22,10.429374833829897
2020-01-23,10.447822491563304
2020-01-24,10.287833234571023
2020-01-25,10.365232526619238
2020-01-26,10.420253319751632
2020-01-27,10.283682594839078
2020-01-28,10.426106351862073
2020-01-29,10.318364020061244
2020-01-30,10.33928959009325
2020-01-31,10.298462070870247
2020-02-01,10.534179920290743
2020-02-02,10.338070220418444
2020-02-03,10.224267986939175
2020-02-04,10.403066783629935
2020-02-05,10.189657949745927
2020-02-06,10.323718193935608
2020-02-07,10.098116479475575
2020-02-08,10.15268127446115
2020-02-09,10.296769663994006
2020-02-10,10.34268362697426
2020-02-11,10.27789943680996
2020-02-12,10.241298023924214
2020-02-13,10.21502967070036
2020-02-14,10.08974426237882
2020-02-15,10.158249930117597
2020-02-16,10.176992013340044
2020-02-17,10.321775429607094
2020-02-18,10.243620201644477
2020-02-19,10.026339388426294
2020-02-20,10.228628657907487
2020-02-21,10.151482618978216
2020-02-22,10.116264807997284
2020-02-23,10.239288160832904
2020-02-24,10.275583100506081
2020-02-25,10.260174539340957
2020-02-26,10.07789052813319
2020-02-27,10.125860720770058
2020-02-28,10.185083394861872
2020-02-29,10.244893502990662
2020-03-01,10.095011718672655
2020-03-02,10.12016291732449
2020-03-03,10.024105755126563
2020-03-04,10.01134097485146
2020-03-05,10.208649670816309
2020-03-06,10.259670665589033
2020-03-07,10.11371034037017
2020-03-08,10.218345376814925
2020-03-09,10.151453333770645
2020-03-10,10.048293110554502
2020-03-11,10.146678448077969
2020-03-12,10.262295463972341
2020-03-13,10.103081848093913
2020-03-14,10.261521728630841
2020-03-15,9.841696506265503
2020-03-16,10.184696074121893
2020-03-17,10.110266836174773
2020-03-18,10.070939478264638
2020-03-19,10.109516367138031
2020-03-20,9.901305614548857
2020-03-21,10.078039756414105
2020-03-22,10.135884880666255
2020-03-23,10.248351896044388
2020-03-24,10.049346412305962
2020-03-25,10.021156909879563
2020-03-26,10.052885048531161
2020-03-27,10.195876781599743
2020-03-28,10.138708453902519
2020-03-29,10.054574608307782
2020-03-30,10.160814661515845
2020-03-31,10.121352392370733
2020-04-01,10.210884646349582
2020-04-02,10.046408434483022
2020-04-03,10.086658443960907
2020-04-04,10.083241243298154
2020-04-05,9.979343551945647
2020-04-06,10.158764689802231
2020-04-07,10.15892940727406
2020-04-08,10.137218958442881
2020-04-09,10.117343996092128
2020-04-10,10.003570882338536
2020-04-11,10.10755754610627
2020-04-12,10.120072285662925
2020-04-13,10.079043807290361
2020-04-14,10.1482754376944
2020-04-15,10.210144726079477
2020-04-16,10.363895437881869
2020-04-17,10.198471771438523
2020-04-18,10.212704406614753
2020-04-19,10.1856366295652
2020-04-20,10.007530612422897
2020-04-21,10.203275643748224
2020-04-22,10.218660202348458
2020-04-23,10.46586040702267
2020-04-24,10.207385933747531
2020-04-25,10.26404731925655
2020-04-26,10.237874528773954
2020-04-27,10.132111380107037
2020-04-28,10.371073038883917
2020-04-29,10.339971414965596
2020-04-30,10.35204207454135
2020-05-01,10.190331898161604
2020-05-02,10.430050365321193
2020-05-03,10.158252126497782
2020-05-04,10.365952680658092
2020-05-05,10.535303095869667
2020-05-06,10.226352622198196
2020-05-07,10.278080651621972
2020-05-08,10.354132422384055
2020-05-09,10.30342647090667
2020-05-10,10.20846148611715
2020-05-11,10.38028207181297
2020-05-12,10.277234567296738
2020-05-13,10.441001590477173
2020-05-14,10.312012561356045
2020-05-15,10.569393235411402
2020-05-16,10.346648353548039
2020-05-17,10.403467363503717
2020-05-18,10.527847843083242
2020-05-19,10.334351862832442
2020-05-20,10.491242785571334
2020-05-21,10.61038261280826
2020-05-22,10.330201296457036
2020-05-23,10.520800682676093
