Date,BOD (mg/L)
2020-01-01,3.930835903873372
2020-01-02,3.861441249478953
2020-01-03,3.934161869229355
2020-01-04,4.015845222472476
2020-01-05,3.834301740072864
2020-01-06,3.8285055679853564
2020-01-07,4.004071794805018
2020-01-08,3.9171560085877517
2020-01-09,3.787759592627919
2020-01-10,3.88329169492384
2020-01-11,3.777058424963335
2020-01-12,3.7712292368215867
2020-01-13,3.83643963032684
2020-01-14,3.615397389948753
2020-01-15,3.628758097759353
2020-01-16,3.7395896725532296
2020-01-17,3.689149545238597
2020-01-18,3.816518905573675
2020-01-19,3.689002144959838
2020-01-20,3.633334995160449
2020-01-21,3.915943040036607
2020-01-22,3.7416668530946695
2020-01-23,3.7659186669795646
2020-01-24,3.6116689395350923
2020-01-25,3.6947414337809685
2020-01-26,3.755367420668621
2020-01-27,3.624332220129047
2020-01-28,3.7722201918474028
2020-01-29,3.6698691458995776
2020-01-30,3.696111475387875
2020-01-31,3.6605246137538803
2020-02-01,3.9014054659761572
2020-02-02,3.710379584209251
2020-02-03,3.6015804776939677
2020-02-04,3.7853002276728067
2020-02-05,3.576728715216311
2020-02-06,3.7155412155702052
2020-02-07,3.4946052838150137
2020-02-08,3.5537480054739543
2020-02-09,3.7023251091102223
2020-02-10,3.752637243521077
2020-02-11,3.6921593788414473
2020-02-12,3.6597711694372603
2020-02-13,3.6376216492287403
2020-02-14,3.5163594829571867
2020-02-15,3.588791609607161
2020-02-16,3.6113622051074983
2020-02-17,3.7598750525483196
2020-02-18,3.685349069544407
2020-02-19,3.4715962396462574
2020-02-20,3.6773111853912166
2020-02-21,3.603487500567631
2020-02-22,3.5714877370490816
2020-02-23,3.6976238771268686
2020-02-24,3.7369254214359557
2020-02-25,3.7244163913786443
2020-02-26,3.5449239785569486
2020-02-27,3.595577009647296
2020-02-28,3.6573729672770634
2020-02-29,3.719646041508835
2020-03-01,3.5721161760288243
2020-03-02,3.599507549329358
2020-03-03,3.505578153778741
2020-03-04,3.4948281016463794
2020-03-05,3.694037890241968
