Date,Fecal Streptococci (MPN/100mL)
2020-01-01,5.152166747955941
2020-01-02,5.076032883303034
2020-01-03,5.14203960113711
2020-01-04,5.217036350280101
2020-01-05,5.028835542981661
2020-01-06,5.01641329790567
2020-01-07,5.185386667095621
2020-01-08,5.09191319221342
2020-01-09,4.955996199738107
2020-01-10,5.045046769855547
2020-01-11,4.932372932671427
2020-01-12,4.9201460507400006
2020-01-13,4.9790035196642535
2020-01-14,4.751655006422504
2020-01-15,4.758757961771532
2020-01-16,4.863382158813032
2020-01-17,4.806786867835213
2020-01-18,4.928055102504129
2020-01-19,4.794493062116362
2020-01-20,4.732838269782139
2020-01-21,5.009518083630265
2020-01-22,4.829374833829896
2020-01-23,4.847822491563304
2020-01-24,4.687833234571022
2020-01-25,4.765232526619238
2020-01-26,4.8202533197516315
2020-01-27,4.683682594839078
2020-01-28,4.826106351862071
2020-01-29,4.718364020061244
2020-01-30,4.739289590093249
2020-01-31,4.698462070870247
2020-02-01,4.9341799202907435
2020-02-02,4.738070220418445
2020-02-03,4.624267986939177
2020-02-04,4.803066783629935
2020-02-05,4.589657949745926
2020-02-06,4.72371819393561
2020-02-07,4.498116479475576
2020-02-08,4.5526812744611505
2020-02-09,4.696769663994005
2020-02-10,4.7426836269742605
2020-02-11,4.677899436809962
2020-02-12,4.641298023924214
2020-02-13,4.615029670700363
2020-02-14,4.48974426237882
2020-02-15,4.558249930117597
2020-02-16,4.576992013340043
2020-02-17,4.721775429607094
2020-02-18,4.643620201644476
2020-02-19,4.4263393884262925
2020-02-20,4.6286286579074885
2020-02-21,4.551482618978216
2020-02-22,4.516264807997285
2020-02-23,4.639288160832906
2020-02-24,4.675583100506081
2020-02-25,4.660174539340958
2020-02-26,4.477890528133191
2020-02-27,4.5258607207700585
2020-02-28,4.585083394861872
2020-02-29,4.644893502990662
2020-03-01,4.4950117186726555
2020-03-02,4.520162917324489
2020-03-03,4.424105755126563
2020-03-04,4.41134097485146
2020-03-05,4.608649670816308
2020-03-06,4.659670665589035
2020-03-07,4.513710340370171
2020-03-08,4.6183453768149265
2020-03-09,4.551453333770646
2020-03-10,4.4482931105545
2020-03-11,4.5466784480779685
2020-03-12,4.662295463972341
2020-03-13,4.503081848093914
2020-03-14,4.66152172863084
2020-03-15,4.2416965062655025
2020-03-16,4.5846960741218945
2020-03-17,4.510266836174773
2020-03-18,4.470939478264638
2020-03-19,4.5095163671380325
2020-03-20,4.301305614548857
2020-03-21,4.478039756414106
2020-03-22,4.535884880666257
2020-03-23,4.648351896044389
2020-03-24,4.449346412305962
2020-03-25,4.4211569098795644
2020-03-26,4.452885048531162
2020-03-27,4.595876781599744
2020-03-28,4.53870845390252
2020-03-29,4.454574608307781
2020-03-30,4.560814661515845
2020-03-31,4.521352392370735
2020-04-01,4.610884646349581
2020-04-02,4.446408434483022
2020-04-03,4.486658443960908
2020-04-04,4.483241243298154
2020-04-05,4.379343551945647
2020-04-06,4.558764689802232
2020-04-07,4.55892940727406
2020-04-08,4.537218958442881
2020-04-09,4.517343996092128
2020-04-10,4.403570882338537
2020-04-11,4.507557546106271
2020-04-12,4.520072285662926
2020-04-13,4.479043807290362
2020-04-14,4.548275437694398
2020-04-15,4.610144726079477
2020-04-16,4.763895437881871
2020-04-17,4.598471771438523
2020-04-18,4.612704406614753
2020-04-19,4.585636629565201
2020-04-20,4.407530612422898
2020-04-21,4.603275643748226
2020-04-22,4.618660202348456
2020-04-23,4.865860407022669
2020-04-24,4.6073859337475325
2020-04-25,4.664047319256551
2020-04-26,4.6378745287739545
2020-04-27,4.53211138010704
2020-04-28,4.7710730388839195
2020-04-29,4.739971414965596
2020-04-30,4.752042074541352
2020-05-01,4.590331898161604
2020-05-02,4.830050365321194
2020-05-03,4.558252126497783
2020-05-04,4.765952680658093
